task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
52	27/b3e275	nf-27b3e27511638d287a751557ef9a6f38-02523	calc_indices:savi (6)	CACHED	0	2026-07-19 19:31:24.491	13.5s	4.4s	252.5%	447.3 MB	5.8 GB	65.6 MB	7 MB
41	da/eefc64	nf-daeefc64017f95dc93266c2d7af66f1f-ab4c3	calc_indices:savi (5)	CACHED	0	2026-07-19 19:31:39.446	6.6s	4.6s	246.7%	439.1 MB	5.8 GB	64.6 MB	6.7 MB
40	be/51d1b2	nf-be51d1b2f50a256017b3a754f37da90c-017b8	calc_indices:ndti (5)	CACHED	0	2026-07-19 19:31:14.493	10.5s	4.4s	250.5%	446.7 MB	5.8 GB	64.5 MB	6.4 MB
42	e8/a5e726	nf-e8a5e726334735510b52f5a5d689b503-af915	calc_indices:nbr (5)	CACHED	0	2026-07-19 19:31:29.485	10.5s	4.7s	239.5%	531.3 MB	5.9 GB	64.5 MB	6.5 MB
44	6f/f8c1cf	nf-6ff8c1cff3430441129d7232aea9ff43-da3ae	calc_indices:arvi (6)	CACHED	0	2026-07-19 19:31:29.628	5.4s	4.3s	256.3%	447.9 MB	5.8 GB	65.6 MB	7 MB
45	0b/177b66	nf-0b177b66d13d925e50c0f2d2b5e9e37c-d2760	calc_indices:sarvi (6)	CACHED	0	2026-07-19 19:30:59.655	7.3s	4.5s	249.6%	445.2 MB	5.8 GB	65.7 MB	7.2 MB
51	71/879158	nf-71879158d60794b7d218a30c9cfc589e-77461	calc_indices:sarvi (7)	CACHED	0	2026-07-19 19:31:39.688	12.3s	4.6s	246.9%	438 MB	5.8 GB	66.2 MB	7.2 MB
46	d9/0d17d0	nf-d90d17d0a45d1186dcd5e6a30a68f1bb-74afd	explode_base_files:explode_pr (9)	CACHED	0	2026-07-19 19:32:09.561	3.4s	410ms	888.8%	3.3 MB	10.4 MB	5.2 MB	14 KB
49	40/779987	nf-4077998751e2d81cd546154e50a2cd92-fe791	calc_indices:evi (6)	CACHED	0	2026-07-19 19:31:39.536	13.5s	4.5s	248.3%	447.3 MB	5.8 GB	65.7 MB	7.1 MB
33	0c/d9fc4f	nf-0cd9fc4f8ecf32944227182526ef74fb-e9583	calc_indices:ndvi (5)	CACHED	0	2026-07-19 19:31:09.581	6.4s	5.1s	231.7%	452.7 MB	5.9 GB	64.5 MB	6.6 MB
55	07/9c4486	nf-079c44868dd25b19187f3bf431f85b7a-9c13a	calc_indices:nbr (6)	CACHED	0	2026-07-19 19:31:44.476	5.5s	4.3s	254.6%	447.1 MB	5.8 GB	65.5 MB	6.7 MB
54	ff/d68c3e	nf-ffd68c3eb433734dd0e14e54291f47ce-69008	calc_indices:evi (7)	CACHED	0	2026-07-19 19:32:04.457	7.5s	5s	231.7%	457.2 MB	5.9 GB	66.3 MB	7.3 MB
50	80/1f7452	nf-801f7452c5637f610e9fc1d8b2cb78e0-05754	calc_indices:ndti (7)	CACHED	0	2026-07-19 19:31:54.623	6.4s	4.7s	243.7%	437.7 MB	5.8 GB	65.9 MB	6.6 MB
63	fd/a0550b	nf-fda0550bd07944f7099d17dd124daafe-c9b11	calc_indices:arvi (8)	CACHED	0	2026-07-19 19:32:04.504	8.5s	4.6s	244.9%	435.2 MB	5.8 GB	64.6 MB	7 MB
